code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
000669,57707AL01A,წინა ფარის სალასკა (LH),Subaru,Outback,Outback 15-17,TYG,120,30.0,GEL
000670,57707AL00A,წინა ფარის სალასკა (RH),Subaru,Outback,Outback 15-17,TYG,133,30.0,GEL
000671,,კარის სამკუთხედი (LH),Subaru,Forester,Forester 12-18,Subaru,0,,GEL
000672,5C6805911/912F-R,პადკრილნიკი (RH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,109,25.0,GEL
000673,5C6805911/912F-L,პადკრილნიკი (LH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,37,25.0,GEL
000674,5c6 807 217 m,წინა ბამპერი,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,132,70.0,GEL
000675,5C6 853 671,წინა ბამპერის ქვედა ბადე,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,91,23.0,GEL
000676,5C6 807 241F,წინა ბამპერის საბუქსირე,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,166,8.0,GEL
000677,CJA-TG17-001-R,უკანა ბამპერის სალასკა (RH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,38,15.0,GEL
000678,CJA-TG17-001-L,უკანა ბამპერის სალასკა (LH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,31,15.0,GEL
000679,1kd945105-R,უკანა ბამპერის ამრეკლი (RH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,71,15.0,GEL
000680,1kd945105-L,უკანა ბამპერის ამრეკლი (LH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,75,15.0,GEL
000681,5C7 941 699P/700P-R,სანისლე ფარი (RH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,90,25.0,GEL
000682,5C7 941 699P/700P-L,სანისლე ფარი (LH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,90,25.0,GEL
000683,5C6 805 903J,წინა ბამპერის სპოილერი,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,84,18.0,GEL
000684,036129611,"ჰაერის ფილტრის ყუთი 1,4L",Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,148,35.0,GEL
000685,038129620m,"ჰაერის ფილტრის ყუთი 1,8L",Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,5,55.0,GEL
000686,5G0 955 453J,წყლის ავზი,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,70,25.0,GEL
