row,is_original_text_match,code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
3102,no,003210,2928800057,კაპოტი (ალუმინი),Mercedes,GLE,G.L.E '16-'19,TYG,5,1270.0,GEL
3103,no,003211,2538800228,კაპოტის პეტლი (RH),Mercedes,GLC,G.L.C '16-,TYG,5,125.0,GEL
3104,no,003212,2538800128,კაპოტის პეტლი (LH),Mercedes,GLC,G.L.C '16-,TYG,5,125.0,GEL
3105,no,003213,2538800157,კაპოტი (ალუმინი),Mercedes,GLC,G.L.C '16-'22,TYG,5,1300.0,GEL
3106,no,003214,238880010064,კაპოტი ალუმინი კუპე,Mercedes,E-Class,E-CLAS '17-,TYG,5,1100.0,GEL
3107,no,003215,2068800500,კაპოტი ალუმინი,Mercedes,C-Class,C-CLAS '22-,TYG,4,1000.0,GEL
3108,no,003216,1081401E0D,წინა კრილო (LH),Tesla,Model 3,MDL-3 '17-'23,TYG,5,350.0,GEL
3109,no,003217,1081400E0D,წინა კრილო (RH),Tesla,Model 3,MDL-3 '17-'23,TYG,5,350.0,GEL
3110,no,003218,68256114AA,ეკრანის ძირი,Jeep,Renegade,RNEGDE (TRAILHAWK MODEL) '15-,TYG,0,,GEL
3111,no,003219,68255521AA,უკანა კრილოს სალასკა (RH),Jeep,Renegade,RNEGDE '15-,TYG,0,,GEL
3112,no,003220,68256449AA,სანისლე ბუდის დამჭერი (LH),Jeep,Renegade,RNEGDE '15-,TYG,0,,GEL
3113,no,003221,68256445AA,სანისლე ბუდის დამჭერი (RH),Jeep,Renegade,RNEGDE '15-,TYG,0,,GEL
3114,no,003222,68486927AA,ეკრანი,Jeep,Compass,COMPS '22-,TYG,0,,GEL
3115,no,003223,68244075AA,კაპოტის პეტლი (RH),Jeep,Compass,COMPS '18-'23,TYG,0,,GEL
3116,no,003224,68244074AA,კაპოტის პეტლი (LH),Jeep,Compass,COMPS '18-'23,TYG,0,,GEL
3117,no,003225,68244673AA,ეკრანის სალასკა,Jeep,Compass,COMPS '17-'22,TYG,0,,GEL
3118,no,003226,5342006320,კაპოტის პეტლი (LH),Toyota,Camry,CMRY '15-'17,TYG,0,,GEL
3119,no,003227,5341006320,კაპოტის პეტლი (RH),Toyota,Camry,CMRY '15-'17,TYG,0,,GEL
3120,no,003228,531120R130,ცხაურა,Toyota,RAV4,RAV-4 '19-(USA)(LE/XLE),TYG,0,,GEL
3121,no,003229,KL2F-50-7E1-9U,ცხაურის ზედა მოლდინგი,Mazda,CX5,CX-5 '17-,TYG,1,110.0,GEL
3122,no,003232,8W0823029A,კაპოტი,Audi,A4,A-4 '17-,TYG,5,400.0,GEL
3123,no,003233,8W0821106D,წინა კრილო (RH),Audi,A4,A-4 '20-,TYG,5,220.0,GEL
3124,no,003234,538010E160PFM,კრილო (RH),Toyota,Highlander,HIGHLAND '20-,TYG,10,190.0,GEL
3125,no,003235,538020E160PFM,კრილო (LH),Toyota,Highlander,HIGHLAND '20-,TYG,10,190.0,GEL
3126,no,003236,533010E160PFM,კაპოტი,Lexus,RX,RX350/450H '16-'22,TYG,5,400.0,GEL
3127,no,003237,538010E150,კრილო (RH),Lexus,RX,RX350/450H '16-,TYG,10,85.0,GEL
3128,no,003238,2928800306,კრილო (LH),Mercedes,GLE,G.L.E '16-'19(COUPE),TYG,5,370.0,GEL
3129,no,003239,2928800206,კრილო (RH),Mercedes,GLE,G.L.E '16-'19(COUPE),TYG,5,370.0,GEL
3130,no,003240,86611C2700,უკანა ბამპერი,Hyundai,Sonata,SNATA '18-'19,TYG,0,,GEL
3131,no,003241,86511-C2800,წინა ბამპერი,Hyundai,Sonata,SNATA 18-19 SPORT/LIMITED 2.0T,TYG,0,,GEL
3132,no,003243,735599030,წინა კრილოს მოლდინგი,Jeep,Renegade,RNEGDE '15-'18,TYG,0,,GEL
3133,no,003244,,ეკრანი,Jeep,Renegade,RNEGDE '19-,TYG,0,,GEL
3134,no,003246,6VM44TZZAA,წინა ბამპერი,Jeep,Renegade,RNEGDE '19-,TYG,0,,GEL
3135,no,003247,68259730AAPFM,კაპოტი,Jeep,Renegade,RNEGDE '15-'18,TYG,0,,GEL
3136,no,003248,6VM61SZ0AA,საინსლე ბუდე (LH),Jeep,Renegade,RNEGDE SPORT MODEL '19-'23,TYG,0,,GEL
3137,no,003249,6VN96SZ0AA,საინსლე ბუდე (RH),Jeep,Renegade,RNEGDE SPORT MODEL '19-'23,TYG,0,,GEL
3138,no,003250,68351154AA,წინა ბამპერი,Jeep,Compass,COMPS '17-,TYG,0,,GEL
3139,no,003251,5VN85SZ0AB,წინა ბამპერის ქვედა   ტუჩი,Jeep,Compass,COMPS '17-,TYG,0,,GEL
3140,no,003252,68552529AA,უკანა ბამპერი,Jeep,Compass,COMPS '17-,TYG,0,,GEL
3141,no,003253,,ქვედა უკანა ბამპერი,Jeep,Compass,COMPS '17-,TYG,0,,GEL
